2024-05-21 14:47:55 - INFO - [105, 12, 16, 12, 31] is search
2024-05-21 14:47:56 - INFO - search [105, 12, 16, 12, 31], it's base url is https://judgment.judicial.gov.tw/FJUD/qryresultlst.aspx?ty=JUDBOOK&q=305df42e4b7403d6afa8baa311a6e376
2024-05-21 14:47:56 - WARNING - [105, 12, 16, 12, 31] need to minimize split date interval, otherwise data shortage!!
2024-05-21 14:51:03 - INFO - id_id:56, search [105, 12, 16, 12, 31], case_number:56 is ok
2024-05-21 14:51:05 - INFO - id_id:57, search [105, 12, 16, 12, 31], case_number:57 is ok
2024-05-21 14:51:07 - INFO - id_id:58, search [105, 12, 16, 12, 31], case_number:58 is ok
2024-05-21 14:51:09 - INFO - id_id:59, search [105, 12, 16, 12, 31], case_number:59 is ok
2024-05-21 14:51:11 - INFO - id_id:60, search [105, 12, 16, 12, 31], case_number:60 is ok
2024-05-21 14:51:13 - INFO - id_id:61, search [105, 12, 16, 12, 31], case_number:61 is ok
2024-05-21 14:51:15 - INFO - id_id:62, search [105, 12, 16, 12, 31], case_number:62 is ok
2024-05-21 14:51:17 - INFO - id_id:63, search [105, 12, 16, 12, 31], case_number:63 is ok
2024-05-21 14:51:20 - INFO - id_id:64, search [105, 12, 16, 12, 31], case_number:64 is ok
2024-05-21 14:51:22 - INFO - id_id:65, search [105, 12, 16, 12, 31], case_number:65 is ok
2024-05-21 14:51:24 - INFO - id_id:66, search [105, 12, 16, 12, 31], case_number:66 is ok
2024-05-21 14:51:26 - INFO - id_id:67, search [105, 12, 16, 12, 31], case_number:67 is ok
2024-05-21 14:51:28 - INFO - id_id:68, search [105, 12, 16, 12, 31], case_number:68 is ok
2024-05-21 14:51:30 - INFO - id_id:69, search [105, 12, 16, 12, 31], case_number:69 is ok
2024-05-21 14:51:32 - INFO - id_id:70, search [105, 12, 16, 12, 31], case_number:70 is ok
2024-05-21 14:51:34 - INFO - id_id:71, search [105, 12, 16, 12, 31], case_number:71 is ok
2024-05-21 14:51:37 - INFO - id_id:72, search [105, 12, 16, 12, 31], case_number:72 is ok
2024-05-21 14:51:39 - INFO - id_id:73, search [105, 12, 16, 12, 31], case_number:73 is ok
2024-05-21 14:51:41 - INFO - id_id:74, search [105, 12, 16, 12, 31], case_number:74 is ok
2024-05-21 14:51:43 - INFO - id_id:75, search [105, 12, 16, 12, 31], case_number:75 is ok
2024-05-21 14:51:45 - INFO - id_id:76, search [105, 12, 16, 12, 31], case_number:76 is ok
2024-05-21 14:51:47 - INFO - id_id:77, search [105, 12, 16, 12, 31], case_number:77 is ok
2024-05-21 14:51:49 - INFO - id_id:78, search [105, 12, 16, 12, 31], case_number:78 is ok
2024-05-21 14:51:52 - INFO - id_id:79, search [105, 12, 16, 12, 31], case_number:79 is ok
2024-05-21 14:51:54 - INFO - id_id:80, search [105, 12, 16, 12, 31], case_number:80 is ok
2024-05-21 14:51:57 - INFO - id_id:81, search [105, 12, 16, 12, 31], case_number:81 is ok
2024-05-21 14:51:59 - INFO - id_id:82, search [105, 12, 16, 12, 31], case_number:82 is ok
2024-05-21 14:52:01 - INFO - id_id:83, search [105, 12, 16, 12, 31], case_number:83 is ok
2024-05-21 14:52:03 - INFO - id_id:84, search [105, 12, 16, 12, 31], case_number:84 is ok
2024-05-21 14:52:05 - INFO - id_id:85, search [105, 12, 16, 12, 31], case_number:85 is ok
2024-05-21 14:52:08 - INFO - id_id:86, search [105, 12, 16, 12, 31], case_number:86 is ok
2024-05-21 14:52:10 - INFO - id_id:87, search [105, 12, 16, 12, 31], case_number:87 is ok
2024-05-21 14:52:12 - INFO - id_id:88, search [105, 12, 16, 12, 31], case_number:88 is ok
2024-05-21 14:52:14 - INFO - id_id:89, search [105, 12, 16, 12, 31], case_number:89 is ok
2024-05-21 14:52:17 - INFO - id_id:90, search [105, 12, 16, 12, 31], case_number:90 is ok
2024-05-21 14:52:18 - INFO - id_id:91, search [105, 12, 16, 12, 31], case_number:91 is ok
2024-05-21 14:52:20 - INFO - id_id:92, search [105, 12, 16, 12, 31], case_number:92 is ok
2024-05-21 14:52:26 - INFO - id_id:93, search [105, 12, 16, 12, 31], case_number:93 is ok
2024-05-21 14:52:28 - INFO - id_id:94, search [105, 12, 16, 12, 31], case_number:94 is ok
2024-05-21 14:52:31 - INFO - id_id:95, search [105, 12, 16, 12, 31], case_number:95 is ok
2024-05-21 14:52:33 - INFO - id_id:96, search [105, 12, 16, 12, 31], case_number:96 is ok
2024-05-21 14:52:35 - INFO - id_id:97, search [105, 12, 16, 12, 31], case_number:97 is ok
2024-05-21 14:52:37 - INFO - id_id:98, search [105, 12, 16, 12, 31], case_number:98 is ok
2024-05-21 14:52:40 - INFO - id_id:99, search [105, 12, 16, 12, 31], case_number:99 is ok
2024-05-21 14:52:42 - INFO - id_id:100, search [105, 12, 16, 12, 31], case_number:100 is ok
2024-05-21 14:52:45 - INFO - id_id:101, search [105, 12, 16, 12, 31], case_number:101 is ok
2024-05-21 14:52:47 - INFO - id_id:102, search [105, 12, 16, 12, 31], case_number:102 is ok
2024-05-21 14:52:58 - INFO - 103:https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=ULDM%2c105%2c%e7%b0%a1%2c360%2c20161230%2c1&ot=in not found...laws, it's ok
2024-05-21 14:53:10 - INFO - id_id:103, search [105, 12, 16, 12, 31], case_number:103 is ok
2024-05-21 14:53:12 - INFO - id_id:104, search [105, 12, 16, 12, 31], case_number:104 is ok
2024-05-21 14:53:14 - INFO - id_id:105, search [105, 12, 16, 12, 31], case_number:105 is ok
2024-05-21 14:53:17 - INFO - id_id:106, search [105, 12, 16, 12, 31], case_number:106 is ok
2024-05-21 14:53:19 - INFO - id_id:107, search [105, 12, 16, 12, 31], case_number:107 is ok
2024-05-21 14:53:21 - INFO - id_id:108, search [105, 12, 16, 12, 31], case_number:108 is ok
2024-05-21 14:53:23 - INFO - id_id:109, search [105, 12, 16, 12, 31], case_number:109 is ok
2024-05-21 14:53:26 - INFO - id_id:110, search [105, 12, 16, 12, 31], case_number:110 is ok
2024-05-21 14:53:28 - INFO - id_id:111, search [105, 12, 16, 12, 31], case_number:111 is ok
2024-05-21 14:53:30 - INFO - id_id:112, search [105, 12, 16, 12, 31], case_number:112 is ok
2024-05-21 14:53:32 - INFO - id_id:113, search [105, 12, 16, 12, 31], case_number:113 is ok
2024-05-21 14:53:35 - INFO - id_id:114, search [105, 12, 16, 12, 31], case_number:114 is ok
2024-05-21 14:53:37 - INFO - id_id:115, search [105, 12, 16, 12, 31], case_number:115 is ok
2024-05-21 14:53:40 - INFO - id_id:116, search [105, 12, 16, 12, 31], case_number:116 is ok
2024-05-21 14:53:42 - INFO - id_id:117, search [105, 12, 16, 12, 31], case_number:117 is ok
2024-05-21 14:53:45 - INFO - id_id:118, search [105, 12, 16, 12, 31], case_number:118 is ok
2024-05-21 14:53:47 - INFO - id_id:119, search [105, 12, 16, 12, 31], case_number:119 is ok
2024-05-21 14:53:49 - INFO - id_id:120, search [105, 12, 16, 12, 31], case_number:120 is ok
2024-05-21 14:53:53 - INFO - id_id:121, search [105, 12, 16, 12, 31], case_number:121 is ok
2024-05-21 14:53:56 - INFO - id_id:122, search [105, 12, 16, 12, 31], case_number:122 is ok
2024-05-21 14:53:59 - INFO - id_id:123, search [105, 12, 16, 12, 31], case_number:123 is ok
2024-05-21 14:54:01 - INFO - id_id:124, search [105, 12, 16, 12, 31], case_number:124 is ok
2024-05-21 14:54:04 - INFO - id_id:125, search [105, 12, 16, 12, 31], case_number:125 is ok
2024-05-21 14:54:06 - INFO - id_id:126, search [105, 12, 16, 12, 31], case_number:126 is ok
2024-05-21 14:54:09 - INFO - id_id:127, search [105, 12, 16, 12, 31], case_number:127 is ok
2024-05-21 14:54:12 - INFO - id_id:128, search [105, 12, 16, 12, 31], case_number:128 is ok
